State,Date,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
AK,2020-01,Passenger,0,3,3,138,141,2.127659574468085
AK,2020-02,Passenger,0,3,3,138,141,2.127659574468085
AK,2020-03,Passenger,0,3,3,137,140,2.142857142857143
AK,2020-04,Passenger,0,3,3,137,140,2.142857142857143
AK,2020-05,Passenger,0,3,3,135,138,2.1739130434782608
AK,2020-06,Passenger,0,3,3,133,136,2.2058823529411766
AK,2020-07,Passenger,0,2,2,133,135,1.4814814814814816
AK,2020-08,Passenger,0,2,2,131,133,1.5037593984962405
AK,2020-09,Passenger,0,2,2,131,133,1.5037593984962405
AK,2020-10,Passenger,0,2,2,130,132,1.5151515151515151
AK,2020-11,Passenger,1,2,3,281,284,1.056338028169014
AK,2020-12,Passenger,1,2,3,279,282,1.0638297872340425
AK,2021-01,Passenger,1,2,3,275,278,1.079136690647482
AK,2021-02,Passenger,1,2,3,272,275,1.090909090909091
AK,2021-03,Passenger,1,2,3,273,276,1.0869565217391304
AK,2021-04,Passenger,1,2,3,272,275,1.090909090909091
AK,2021-05,Passenger,1,2,3,269,272,1.1029411764705883
AK,2021-06,Passenger,1,2,3,267,270,1.1111111111111112
AK,2021-07,Passenger,1,2,3,262,265,1.1320754716981132
AK,2021-08,Passenger,1,2,3,262,265,1.1320754716981132
AK,2021-09,Passenger,1,2,3,266,269,1.1152416356877324
AK,2021-10,Passenger,1,2,3,264,267,1.1235955056179776
AK,2021-11,Passenger,2,2,4,255,259,1.5444015444015444
AK,2021-12,Passenger,2,2,4,256,260,1.5384615384615385
AK,2022-01,Passenger,2,2,4,258,262,1.5267175572519083
AK,2022-02,Passenger,2,2,4,256,260,1.5384615384615385
AK,2022-03,Passenger,2,2,4,255,259,1.5444015444015444
AK,2022-04,Passenger,2,2,4,258,262,1.5267175572519083
AK,2022-05,Passenger,2,2,4,255,259,1.5444015444015444
AK,2022-06,Passenger,2,2,4,249,253,1.5810276679841897
AK,2022-07,Passenger,2,2,4,247,251,1.593625498007968
AK,2022-08,Passenger,2,2,4,242,246,1.6260162601626018
AK,2022-09,Passenger,2,2,4,236,240,1.6666666666666667
AK,2022-10,Passenger,1,1,2,204,206,0.9708737864077669
AK,2022-11,Passenger,1,1,2,203,205,0.975609756097561
AK,2022-12,Passenger,1,1,2,197,199,1.0050251256281406
AK,2023-01,Passenger,1,1,2,196,198,1.0101010101010102
AK,2023-02,Passenger,1,1,2,195,197,1.015228426395939
AK,2023-03,Passenger,1,1,2,187,189,1.0582010582010581
AK,2023-04,Passenger,1,1,2,176,178,1.1235955056179776
AK,2023-05,Passenger,1,1,2,173,175,1.1428571428571428
AK,2023-06,Passenger,1,1,2,169,171,1.1695906432748537
AK,2023-07,Passenger,1,0,1,106,107,0.9345794392523363
AK,2023-08,Passenger,1,0,1,101,102,0.9803921568627451
AK,2023-09,Passenger,1,0,1,98,99,1.0101010101010102
AK,2023-10,Passenger,1,0,1,96,97,1.0309278350515463
AK,2023-11,Passenger,1,0,1,96,97,1.0309278350515463
AK,2023-12,Passenger,1,0,1,93,94,1.0638297872340425
AK,2024-01,Passenger,1,0,1,93,94,1.0638297872340425
AK,2024-02,Passenger,1,0,1,91,92,1.0869565217391304
AK,2024-03,Passenger,1,0,1,91,92,1.0869565217391304
AK,2024-04,Passenger,1,0,1,89,90,1.1111111111111112
AK,2024-05,Passenger,1,0,1,86,87,1.1494252873563218
AK,2024-06,Passenger,1,0,1,85,86,1.1627906976744187
AK,2024-07,Passenger,1,0,1,84,85,1.1764705882352942
AK,2024-08,Passenger,1,0,1,80,81,1.2345679012345678
AK,2024-09,Passenger,1,0,1,74,75,1.3333333333333335
AK,2024-10,Passenger,1,0,1,69,70,1.4285714285714286
AL,2022-02,Passenger,3,0,3,50,53,5.660377358490567
AL,2022-03,Passenger,3,1,4,49,53,7.547169811320755
AL,2022-04,Passenger,3,1,4,48,52,7.6923076923076925
AL,2022-05,Passenger,3,1,4,48,52,7.6923076923076925
AL,2022-06,Passenger,3,1,4,49,53,7.547169811320755
AL,2022-07,Passenger,3,1,4,49,53,7.547169811320755
AL,2022-08,Passenger,3,1,4,49,53,7.547169811320755
AL,2022-09,Passenger,3,1,4,50,54,7.4074074074074066
AL,2022-10,Passenger,4,1,5,49,54,9.25925925925926
AL,2022-11,Passenger,4,1,5,49,54,9.25925925925926
AL,2022-12,Passenger,5,1,6,66,72,8.333333333333332
AL,2023-01,Passenger,5,1,6,66,72,8.333333333333332
AL,2023-02,Passenger,5,1,6,66,72,8.333333333333332
AL,2023-03,Passenger,5,0,5,66,71,7.042253521126761
AL,2023-04,Passenger,5,0,5,65,70,7.142857142857142
AL,2023-05,Passenger,5,0,5,64,69,7.246376811594203
AL,2023-06,Passenger,5,0,5,64,69,7.246376811594203
AL,2023-07,Passenger,5,1,6,61,67,8.955223880597014
AL,2023-08,Passenger,6,1,7,65,72,9.722222222222223
AL,2023-09,Passenger,6,1,7,62,69,10.144927536231885
AL,2023-10,Passenger,6,1,7,62,69,10.144927536231885
AL,2023-11,Passenger,6,1,7,60,67,10.44776119402985
AL,2023-12,Passenger,6,1,7,59,66,10.606060606060606
AL,2024-01,Passenger,6,1,7,59,66,10.606060606060606
AL,2024-02,Passenger,6,2,8,61,69,11.594202898550725
AL,2024-03,Passenger,6,2,8,59,67,11.940298507462686
AL,2024-04,Passenger,7,2,9,58,67,13.432835820895523
AL,2024-05,Passenger,7,2,9,55,64,14.0625
AL,2024-06,Passenger,8,1,9,82,91,9.89010989010989
AL,2024-07,Passenger,7,2,9,80,89,10.112359550561797
AL,2024-08,Passenger,7,2,9,75,84,10.714285714285714
AL,2024-09,Passenger,7,2,9,72,81,11.11111111111111
AL,2024-10,Passenger,6,2,8,66,74,10.81081081081081
AZ,2020-01,Passenger,13,11,24,2331,2355,1.019108280254777
AZ,2020-02,Passenger,14,11,25,2330,2355,1.0615711252653928
AZ,2020-03,Passenger,13,11,24,2305,2329,1.03048518677544
AZ,2020-04,Passenger,13,11,24,2288,2312,1.0380622837370241
AZ,2020-05,Passenger,11,10,21,2150,2171,0.9672961768770152
AZ,2020-06,Passenger,11,10,21,2138,2159,0.9726725335803612
AZ,2020-07,Passenger,11,10,21,2123,2144,0.9794776119402986
AZ,2020-08,Passenger,12,11,23,2160,2183,1.0535959688502061
AZ,2020-09,Passenger,12,11,23,1949,1972,1.1663286004056794
AZ,2020-10,Passenger,12,10,22,1933,1955,1.1253196930946292
AZ,2020-11,Passenger,12,10,22,1923,1945,1.1311053984575836
AZ,2020-12,Passenger,11,10,21,1915,1936,1.084710743801653
AZ,2021-01,Passenger,10,9,19,1884,1903,0.9984235417761429
AZ,2021-02,Passenger,10,9,19,1857,1876,1.0127931769722816
AZ,2021-03,Passenger,10,8,18,1822,1840,0.9782608695652175
AZ,2021-04,Passenger,10,8,18,1793,1811,0.9939260077305356
AZ,2021-05,Passenger,10,8,18,1760,1778,1.0123734533183353
AZ,2021-06,Passenger,12,7,19,1733,1752,1.0844748858447488
AZ,2021-07,Passenger,13,7,20,1703,1723,1.1607661056297156
AZ,2021-08,Passenger,12,6,18,1687,1705,1.0557184750733137
AZ,2021-09,Passenger,15,8,23,1718,1741,1.321079839172889
AZ,2021-10,Passenger,16,7,23,1707,1730,1.3294797687861273
AZ,2021-11,Passenger,16,7,23,1688,1711,1.3442431326709527
AZ,2021-12,Passenger,17,7,24,1661,1685,1.4243323442136497
AZ,2022-01,Passenger,16,7,23,1646,1669,1.378070701018574
AZ,2022-02,Passenger,16,6,22,1610,1632,1.3480392156862746
AZ,2022-03,Passenger,16,6,22,1580,1602,1.373283395755306
AZ,2022-04,Passenger,16,7,23,1688,1711,1.3442431326709527
AZ,2022-05,Passenger,17,6,23,1651,1674,1.3739545997610514
AZ,2022-06,Passenger,17,6,23,1614,1637,1.4050091631032375
AZ,2022-07,Passenger,16,5,21,1314,1335,1.5730337078651686
AZ,2022-08,Passenger,18,5,23,1279,1302,1.7665130568356373
AZ,2022-09,Passenger,19,5,24,1242,1266,1.8957345971563981
AZ,2022-10,Passenger,19,6,25,1204,1229,2.034174125305126
AZ,2022-11,Passenger,18,6,24,1183,1207,1.9884009942004972
AZ,2022-12,Passenger,18,7,25,1150,1175,2.127659574468085
AZ,2023-01,Passenger,20,7,27,1371,1398,1.9313304721030045
AZ,2023-02,Passenger,20,7,27,1346,1373,1.9664967225054626
AZ,2023-03,Passenger,20,7,27,1306,1333,2.0255063765941483
AZ,2023-04,Passenger,21,7,28,1279,1307,2.1423106350420813
AZ,2023-05,Passenger,21,7,28,1243,1271,2.2029897718332023
AZ,2023-06,Passenger,20,8,28,1221,1249,2.241793434747798
AZ,2023-07,Passenger,19,8,27,1201,1228,2.198697068403909
AZ,2023-08,Passenger,17,8,25,1156,1181,2.1168501270110074
AZ,2023-09,Passenger,20,6,26,1098,1124,2.3131672597864767
AZ,2023-10,Passenger,20,5,25,1064,1089,2.295684113865932
AZ,2023-11,Passenger,19,5,24,1041,1065,2.2535211267605635
AZ,2023-12,Passenger,20,4,24,1024,1048,2.2900763358778624
AZ,2024-01,Passenger,19,4,23,1000,1023,2.248289345063539
AZ,2024-02,Passenger,19,4,23,971,994,2.3138832997987926
AZ,2024-03,Passenger,19,4,23,943,966,2.380952380952381
AZ,2024-04,Passenger,18,4,22,906,928,2.3706896551724137
AZ,2024-05,Passenger,18,4,22,881,903,2.436323366555925
AZ,2024-06,Passenger,16,4,20,818,838,2.386634844868735
AZ,2024-07,Passenger,15,3,18,784,802,2.2443890274314215
AZ,2024-08,Passenger,12,3,15,743,758,1.978891820580475
AZ,2024-09,Passenger,9,2,11,708,719,1.52990264255911
AZ,2024-10,Passenger,9,2,11,667,678,1.6224188790560472
CA,2020-01,Passenger,55,34,89,7961,8050,1.105590062111801
CA,2020-02,Passenger,54,33,87,7920,8007,1.0865492693892844
CA,2020-03,Passenger,55,33,88,7874,7962,1.1052499372017082
CA,2020-04,Passenger,56,33,89,7792,7881,1.129298312396904
CA,2020-05,Passenger,56,31,87,7689,7776,1.1188271604938271
CA,2020-06,Passenger,56,32,88,7667,7755,1.1347517730496455
CA,2020-07,Passenger,59,31,90,7612,7702,1.1685276551545054
CA,2020-08,Passenger,61,30,91,7568,7659,1.188144666405536
CA,2020-09,Passenger,59,31,90,7534,7624,1.180482686253935
CA,2020-10,Passenger,58,28,86,7483,7569,1.1362135024441802
CA,2020-11,Passenger,60,28,88,7447,7535,1.167883211678832
CA,2020-12,Passenger,60,29,89,7417,7506,1.1857180921929122
CA,2021-01,Passenger,61,31,92,7755,7847,1.1724225818784249
CA,2021-02,Passenger,62,30,92,7708,7800,1.1794871794871795
CA,2021-03,Passenger,65,31,96,7664,7760,1.2371134020618557
CA,2021-04,Passenger,67,33,100,7443,7543,1.3257324671881214
CA,2021-05,Passenger,68,32,100,7350,7450,1.342281879194631
CA,2021-06,Passenger,67,33,100,7574,7674,1.3031013812874641
CA,2021-07,Passenger,70,35,105,7597,7702,1.363282264346923
CA,2021-08,Passenger,71,32,103,7605,7708,1.3362740010378829
CA,2021-09,Passenger,66,35,101,7710,7811,1.2930482652669313
CA,2021-10,Passenger,72,34,106,7845,7951,1.333165639542196
CA,2021-11,Passenger,76,33,109,7864,7973,1.3671140097830177
CA,2021-12,Passenger,75,34,109,7838,7947,1.3715867623002391
CA,2022-01,Passenger,78,35,113,7772,7885,1.4331008243500316
CA,2022-02,Passenger,76,36,112,7710,7822,1.431858859626694
CA,2022-03,Passenger,77,35,112,7655,7767,1.441998197502253
CA,2022-04,Passenger,79,35,114,7612,7726,1.4755371472948486
CA,2022-05,Passenger,80,38,118,7521,7639,1.5447048042937557
CA,2022-06,Passenger,84,39,123,7444,7567,1.6254790537861767
CA,2022-07,Passenger,86,39,125,7191,7316,1.7085839256424276
CA,2022-08,Passenger,88,37,125,7139,7264,1.7208149779735682
CA,2022-09,Passenger,90,35,125,6986,7111,1.7578399662494728
CA,2022-10,Passenger,90,37,127,6927,7054,1.8003969379075704
CA,2022-11,Passenger,91,37,128,6874,7002,1.828049128820337
CA,2022-12,Passenger,95,37,132,6807,6939,1.9022913964548205
CA,2023-01,Passenger,100,37,137,6870,7007,1.9551876694733838
CA,2023-02,Passenger,100,37,137,6819,6956,1.9695227142035654
CA,2023-03,Passenger,101,38,139,6746,6885,2.018881626724764
CA,2023-04,Passenger,103,39,142,6639,6781,2.0940864179324583
CA,2023-05,Passenger,105,37,142,6526,6668,2.1295740851829636
CA,2023-06,Passenger,105,36,141,6417,6558,2.150045745654163
CA,2023-07,Passenger,109,36,145,6308,6453,2.247016891368356
CA,2023-08,Passenger,112,35,147,6203,6350,2.3149606299212597
CA,2023-08,Truck,2,0,2,479,481,0.4158004158004158
CA,2023-09,Passenger,111,33,144,6084,6228,2.312138728323699
CA,2023-09,Truck,3,0,3,500,503,0.5964214711729622
CA,2023-10,Passenger,112,34,146,5987,6133,2.3805641610957116
CA,2023-10,Truck,3,0,3,498,501,0.5988023952095809
CA,2023-11,Passenger,116,35,151,5916,6067,2.4888742376792483
CA,2023-11,Truck,3,0,3,489,492,0.6097560975609756
CA,2023-12,Passenger,111,33,144,5732,5876,2.450646698434309
CA,2023-12,Truck,4,0,4,497,501,0.7984031936127743
CA,2024-01,Passenger,108,32,140,5623,5763,2.429290300190873
CA,2024-01,Truck,4,0,4,489,493,0.8113590263691683
CA,2024-02,Passenger,105,34,139,5689,5828,2.385037748798902
CA,2024-02,Truck,4,0,4,484,488,0.819672131147541
CA,2024-03,Passenger,103,33,136,5518,5654,2.4053767244428723
CA,2024-03,Truck,4,0,4,478,482,0.8298755186721992
CA,2024-04,Passenger,103,31,134,5384,5518,2.428416092787242
CA,2024-04,Truck,4,0,4,468,472,0.847457627118644
CA,2024-05,Passenger,100,29,129,5273,5402,2.3880044427989633
CA,2024-05,Truck,4,0,4,455,459,0.8714596949891068
CA,2024-06,Passenger,95,29,124,5151,5275,2.3507109004739335
CA,2024-06,Truck,4,0,4,447,451,0.8869179600886918
CA,2024-07,Passenger,92,27,119,4994,5113,2.3274007432035986
CA,2024-07,Truck,4,0,4,440,444,0.9009009009009009
CA,2024-08,Passenger,90,28,118,4866,4984,2.3675762439807384
CA,2024-08,Truck,4,0,4,426,430,0.9302325581395349
CA,2024-09,Passenger,83,29,112,4717,4829,2.319320770345827
CA,2024-09,Truck,4,0,4,416,420,0.9523809523809524
CA,2024-10,Passenger,77,29,106,4553,4659,2.2751663447091652
CA,2024-10,Truck,4,0,4,400,404,0.9900990099009901
CO,2020-01,Passenger,8,5,13,1195,1208,1.076158940397351
CO,2020-02,Passenger,8,3,11,1195,1206,0.9121061359867331
CO,2020-03,Passenger,8,3,11,1180,1191,0.9235936188077246
CO,2020-04,Passenger,8,3,11,1166,1177,0.9345794392523363
CO,2020-05,Passenger,8,3,11,1153,1164,0.9450171821305842
CO,2020-06,Passenger,8,3,11,1144,1155,0.9523809523809524
CO,2020-07,Passenger,8,3,11,1142,1153,0.9540329575021683
CO,2020-08,Passenger,8,4,12,1213,1225,0.9795918367346939
CO,2020-09,Passenger,8,4,12,1216,1228,0.9771986970684038
CO,2020-10,Passenger,8,3,11,1148,1159,0.9490940465918896
CO,2020-11,Passenger,8,3,11,1157,1168,0.9417808219178082
CO,2020-12,Passenger,8,3,11,1158,1169,0.9409751924721984
CO,2021-01,Passenger,8,3,11,1149,1160,0.9482758620689655
CO,2021-02,Passenger,8,3,11,1147,1158,0.9499136442141624
CO,2021-03,Passenger,8,3,11,1143,1154,0.9532062391681109
CO,2021-04,Passenger,8,3,11,1147,1158,0.9499136442141624
CO,2021-05,Passenger,8,3,11,1134,1145,0.9606986899563319
CO,2021-06,Passenger,8,3,11,1132,1143,0.9623797025371827
CO,2021-07,Passenger,8,3,11,1122,1133,0.9708737864077669
CO,2021-08,Passenger,7,3,10,1115,1125,0.8888888888888888
CO,2021-09,Passenger,5,3,8,869,877,0.9122006841505131
CO,2021-10,Passenger,6,3,9,873,882,1.0204081632653061
CO,2021-11,Passenger,6,3,9,876,885,1.0169491525423728
CO,2021-12,Passenger,6,3,9,869,878,1.0250569476082005
CO,2022-01,Passenger,6,3,9,865,874,1.0297482837528604
CO,2022-02,Passenger,6,3,9,855,864,1.0416666666666665
CO,2022-03,Passenger,8,3,11,892,903,1.2181616832779625
CO,2022-04,Passenger,8,4,12,978,990,1.2121212121212122
CO,2022-05,Passenger,8,5,13,963,976,1.331967213114754
CO,2022-06,Passenger,8,5,13,963,976,1.331967213114754
CO,2022-07,Passenger,8,5,13,939,952,1.365546218487395
CO,2022-08,Passenger,7,5,12,884,896,1.3392857142857142
CO,2022-09,Passenger,7,5,12,876,888,1.3513513513513513
CO,2022-10,Passenger,7,5,12,866,878,1.366742596810934
CO,2022-11,Passenger,8,5,13,890,903,1.4396456256921373
CO,2022-12,Passenger,8,5,13,877,890,1.4606741573033708
CO,2023-01,Passenger,8,5,13,867,880,1.4772727272727273
CO,2023-02,Passenger,9,5,14,849,863,1.6222479721900347
CO,2023-03,Passenger,9,5,14,828,842,1.66270783847981
CO,2023-04,Passenger,9,5,14,814,828,1.6908212560386473
CO,2023-05,Passenger,9,5,14,803,817,1.7135862913096693
CO,2023-06,Passenger,9,5,14,775,789,1.7743979721166032
CO,2023-07,Passenger,9,5,14,754,768,1.8229166666666667
CO,2023-08,Passenger,10,5,15,731,746,2.0107238605898123
CO,2023-09,Passenger,10,5,15,717,732,2.0491803278688523
CO,2023-10,Passenger,10,5,15,695,710,2.112676056338028
CO,2023-11,Passenger,9,5,14,680,694,2.0172910662824206
CO,2023-12,Passenger,10,5,15,670,685,2.18978102189781
CO,2024-01,Passenger,11,5,16,656,672,2.380952380952381
CO,2024-01,Truck,1,0,1,135,136,0.7352941176470588
CO,2024-02,Passenger,11,5,16,643,659,2.4279210925644916
CO,2024-02,Truck,1,0,1,134,135,0.7407407407407408
CO,2024-03,Passenger,11,6,17,625,642,2.64797507788162
CO,2024-03,Truck,1,0,1,131,132,0.7575757575757576
CO,2024-04,Passenger,10,6,16,592,608,2.631578947368421
CO,2024-04,Truck,1,0,1,124,125,0.8
CO,2024-05,Passenger,11,6,17,583,600,2.833333333333333
CO,2024-05,Truck,1,0,1,121,122,0.819672131147541
CO,2024-06,Passenger,11,6,17,570,587,2.8960817717206133
CO,2024-06,Truck,1,0,1,119,120,0.8333333333333334
CO,2024-07,Passenger,11,6,17,551,568,2.992957746478873
CO,2024-07,Truck,1,0,1,118,119,0.8403361344537815
CO,2024-08,Passenger,11,5,16,529,545,2.9357798165137616
CO,2024-08,Truck,1,0,1,114,115,0.8695652173913043
CO,2024-09,Passenger,11,5,16,516,532,3.007518796992481
CO,2024-09,Truck,1,0,1,113,114,0.8771929824561403
CO,2024-10,Passenger,11,5,16,494,510,3.1372549019607843
CO,2024-10,Truck,1,0,1,106,107,0.9345794392523363
CT,2020-01,Passenger,0,3,3,285,288,1.0416666666666665
CT,2020-02,Passenger,0,3,3,284,287,1.0452961672473868
CT,2020-03,Passenger,1,3,4,276,280,1.4285714285714286
CT,2020-04,Passenger,1,3,4,274,278,1.4388489208633095
CT,2020-05,Passenger,1,3,4,274,278,1.4388489208633095
CT,2020-06,Passenger,1,3,4,274,278,1.4388489208633095
CT,2020-07,Passenger,1,3,4,267,271,1.4760147601476015
CT,2020-08,Passenger,1,3,4,268,272,1.4705882352941175
CT,2020-09,Passenger,1,4,5,268,273,1.8315018315018317
CT,2020-10,Passenger,1,4,5,267,272,1.8382352941176472
CT,2020-11,Passenger,1,4,5,269,274,1.824817518248175
CT,2020-12,Passenger,1,4,5,267,272,1.8382352941176472
CT,2021-01,Passenger,1,4,5,266,271,1.8450184501845017
CT,2021-02,Passenger,1,4,5,261,266,1.8796992481203008
CT,2021-03,Passenger,1,4,5,259,264,1.893939393939394
CT,2021-04,Passenger,1,4,5,258,263,1.9011406844106464
CT,2021-05,Passenger,1,4,5,257,262,1.9083969465648856
CT,2021-06,Passenger,1,4,5,252,257,1.9455252918287937
CT,2021-07,Passenger,1,4,5,246,251,1.9920318725099602
CT,2021-08,Passenger,1,5,6,246,252,2.380952380952381
CT,2021-09,Passenger,1,6,7,243,250,2.8000000000000003
CT,2021-10,Passenger,1,6,7,246,253,2.766798418972332
CT,2021-11,Passenger,1,6,7,249,256,2.734375
CT,2021-12,Passenger,1,6,7,249,256,2.734375
CT,2022-01,Passenger,1,6,7,251,258,2.7131782945736433
CT,2022-02,Passenger,1,6,7,245,252,2.7777777777777777
CT,2022-03,Passenger,1,6,7,241,248,2.82258064516129
CT,2022-04,Passenger,2,6,8,239,247,3.2388663967611335
CT,2022-05,Passenger,2,6,8,234,242,3.3057851239669422
CT,2022-06,Passenger,2,6,8,226,234,3.418803418803419
CT,2022-07,Passenger,2,6,8,228,236,3.389830508474576
CT,2022-08,Passenger,2,6,8,226,234,3.418803418803419
CT,2022-09,Passenger,2,5,7,226,233,3.004291845493562
CT,2022-10,Passenger,2,5,7,226,233,3.004291845493562
CT,2022-11,Passenger,2,5,7,224,231,3.0303030303030303
CT,2022-12,Passenger,2,5,7,220,227,3.0837004405286343
CT,2023-01,Passenger,2,5,7,221,228,3.070175438596491
CT,2023-02,Passenger,2,5,7,216,223,3.1390134529147984
CT,2023-03,Passenger,1,5,6,214,220,2.727272727272727
CT,2023-04,Passenger,1,5,6,211,217,2.7649769585253456
CT,2023-05,Passenger,1,5,6,209,215,2.7906976744186047
CT,2023-06,Passenger,1,5,6,205,211,2.843601895734597
CT,2023-07,Passenger,1,5,6,206,212,2.8301886792452833
CT,2023-08,Passenger,1,5,6,204,210,2.857142857142857
CT,2023-09,Passenger,1,5,6,200,206,2.912621359223301
CT,2023-10,Passenger,1,5,6,197,203,2.955665024630542
CT,2023-11,Passenger,1,5,6,195,201,2.9850746268656714
CT,2023-12,Passenger,1,5,6,190,196,3.061224489795918
CT,2024-01,Passenger,1,5,6,186,192,3.125
CT,2024-02,Passenger,1,5,6,186,192,3.125
CT,2024-03,Passenger,1,6,7,183,190,3.684210526315789
CT,2024-04,Passenger,1,6,7,183,190,3.684210526315789
CT,2024-05,Passenger,1,6,7,180,187,3.7433155080213902
CT,2024-06,Passenger,2,6,8,177,185,4.324324324324325
CT,2024-07,Passenger,2,6,8,174,182,4.395604395604396
CT,2024-08,Passenger,2,6,8,168,176,4.545454545454546
CT,2024-09,Passenger,2,6,8,164,172,4.651162790697675
CT,2024-10,Passenger,2,6,8,159,167,4.790419161676647
DC,2020-01,Passenger,1,1,2,196,198,1.0101010101010102
DC,2020-02,Passenger,1,1,2,194,196,1.0204081632653061
DC,2020-03,Passenger,1,1,2,195,197,1.015228426395939
DC,2020-04,Passenger,1,1,2,191,193,1.0362694300518136
DC,2020-05,Passenger,1,1,2,190,192,1.0416666666666665
DC,2020-06,Passenger,1,1,2,192,194,1.0309278350515463
DC,2020-07,Passenger,1,1,2,189,191,1.0471204188481675
DC,2020-08,Passenger,1,1,2,187,189,1.0582010582010581
DC,2020-09,Passenger,1,1,2,184,186,1.0752688172043012
DC,2020-10,Passenger,1,1,2,184,186,1.0752688172043012
DC,2020-11,Passenger,2,1,3,183,186,1.6129032258064515
DC,2020-12,Passenger,2,1,3,184,187,1.6042780748663104
DC,2021-01,Passenger,2,1,3,183,186,1.6129032258064515
DC,2021-02,Passenger,2,1,3,183,186,1.6129032258064515
DC,2021-03,Passenger,2,1,3,183,186,1.6129032258064515
DC,2021-04,Passenger,3,1,4,177,181,2.209944751381215
DC,2021-05,Passenger,4,1,5,176,181,2.7624309392265194
DC,2021-06,Passenger,4,1,5,180,185,2.7027027027027026
DC,2021-07,Passenger,4,1,5,179,184,2.717391304347826
DC,2021-08,Passenger,4,1,5,178,183,2.73224043715847
DC,2021-09,Passenger,4,0,4,180,184,2.1739130434782608
DC,2021-10,Passenger,4,0,4,181,185,2.1621621621621623
DC,2021-11,Passenger,4,0,4,180,184,2.1739130434782608
DC,2021-12,Passenger,4,0,4,177,181,2.209944751381215
DC,2022-01,Passenger,4,0,4,176,180,2.2222222222222223
DC,2022-02,Passenger,4,0,4,174,178,2.247191011235955
DC,2022-03,Passenger,3,0,3,174,177,1.694915254237288
DC,2022-04,Passenger,3,0,3,170,173,1.7341040462427744
DC,2022-05,Passenger,3,0,3,167,170,1.7647058823529411
DC,2022-06,Passenger,2,0,2,164,166,1.2048192771084338
DC,2022-07,Passenger,2,0,2,159,161,1.2422360248447204
DC,2022-08,Passenger,2,0,2,155,157,1.2738853503184715
DC,2022-09,Passenger,2,0,2,152,154,1.2987012987012987
DC,2022-10,Passenger,2,0,2,152,154,1.2987012987012987
DC,2022-11,Passenger,2,0,2,151,153,1.3071895424836601
DC,2022-12,Passenger,2,0,2,147,149,1.342281879194631
DC,2023-01,Passenger,2,0,2,146,148,1.3513513513513513
DC,2023-02,Passenger,2,0,2,144,146,1.36986301369863
DC,2023-03,Passenger,2,0,2,144,146,1.36986301369863
DC,2023-04,Passenger,2,0,2,142,144,1.3888888888888888
DC,2023-05,Passenger,2,0,2,143,145,1.3793103448275863
DC,2023-06,Passenger,2,0,2,137,139,1.4388489208633095
DC,2023-07,Passenger,2,0,2,135,137,1.4598540145985401
DC,2023-08,Passenger,2,0,2,135,137,1.4598540145985401
DC,2023-09,Passenger,2,0,2,136,138,1.4492753623188406
DC,2023-10,Passenger,1,0,1,134,135,0.7407407407407408
DC,2023-11,Passenger,1,0,1,133,134,0.7462686567164178
DC,2023-12,Passenger,2,0,2,133,135,1.4814814814814816
DC,2024-01,Passenger,2,0,2,132,134,1.4925373134328357
DC,2024-02,Passenger,2,1,3,131,134,2.2388059701492535
DC,2024-03,Passenger,2,1,3,130,133,2.2556390977443606
DC,2024-04,Passenger,2,1,3,128,131,2.2900763358778624
DC,2024-05,Passenger,2,1,3,126,129,2.3255813953488373
DC,2024-06,Passenger,2,1,3,123,126,2.380952380952381
DC,2024-07,Passenger,2,1,3,120,123,2.4390243902439024
DC,2024-08,Passenger,3,1,4,116,120,3.3333333333333335
DC,2024-09,Passenger,3,1,4,114,118,3.389830508474576
DC,2024-10,Passenger,3,1,4,111,115,3.4782608695652173
DE,2022-11,Passenger,1,0,1,52,53,1.8867924528301887
DE,2022-12,Passenger,1,0,1,52,53,1.8867924528301887
DE,2023-01,Passenger,1,0,1,51,52,1.9230769230769231
DE,2023-02,Passenger,1,0,1,51,52,1.9230769230769231
DE,2023-03,Passenger,1,0,1,49,50,2.0
DE,2023-08,Passenger,2,0,2,61,63,3.1746031746031744
DE,2023-09,Passenger,2,0,2,57,59,3.389830508474576
DE,2023-10,Passenger,2,0,2,55,57,3.508771929824561
DE,2023-11,Passenger,2,0,2,56,58,3.4482758620689653
DE,2023-12,Passenger,2,0,2,54,56,3.571428571428571
DE,2024-01,Passenger,2,0,2,55,57,3.508771929824561
DE,2024-02,Passenger,2,0,2,55,57,3.508771929824561
DE,2024-03,Passenger,2,0,2,54,56,3.571428571428571
DE,2024-04,Passenger,2,0,2,53,55,3.6363636363636362
DE,2024-05,Passenger,2,0,2,52,54,3.7037037037037033
DE,2024-06,Passenger,2,0,2,51,53,3.7735849056603774
DE,2024-07,Passenger,2,0,2,51,53,3.7735849056603774
DE,2024-08,Passenger,2,0,2,49,51,3.9215686274509802
DE,2024-09,Passenger,2,0,2,48,50,4.0
FL,2020-01,Passenger,12,10,22,1444,1466,1.5006821282401093
FL,2020-02,Passenger,12,10,22,1434,1456,1.510989010989011
FL,2020-03,Passenger,11,11,22,1333,1355,1.6236162361623614
FL,2020-04,Passenger,11,10,21,1320,1341,1.5659955257270695
FL,2020-05,Passenger,10,10,20,1311,1331,1.5026296018031555
